,date,# of trips
885,2015-05-12,2051
886,2015-05-13,2281
887,2015-05-14,2339
888,2015-05-15,2324
889,2015-05-16,1688
890,2015-05-17,1929
891,2015-05-18,1944
892,2015-05-19,1350
893,2015-05-20,1812
894,2015-05-21,2106
895,2015-05-22,2085
896,2015-05-23,1484
897,2015-05-24,1810
898,2015-05-25,1707
899,2015-05-26,2162
900,2015-05-27,2234
901,2015-05-28,2050
902,2015-05-29,2359
903,2015-05-30,1918
904,2015-05-31,635
905,2015-06-01,601
906,2015-06-02,878
907,2015-06-03,1826
908,2015-06-04,2067
909,2015-06-05,2194
910,2015-06-06,1687
911,2015-06-07,1803
912,2015-06-08,1925
913,2015-06-09,1991
914,2015-06-10,2120
915,2015-06-11,2242
916,2015-06-12,2266
917,2015-06-13,2092
918,2015-06-14,1985
919,2015-06-15,617
920,2015-06-16,1985
921,2015-06-17,2273
922,2015-06-18,2229
923,2015-06-19,2158
924,2015-06-20,1866
925,2015-06-21,699
926,2015-06-22,2212
927,2015-06-23,2110
928,2015-06-24,2544
929,2015-06-25,2460
930,2015-06-26,2370
931,2015-06-27,1792
932,2015-06-28,441
933,2015-06-29,2043
934,2015-06-30,2474
935,2015-07-01,1695
936,2015-07-02,2435
937,2015-07-03,2082
938,2015-07-04,2158
939,2015-07-05,1853
940,2015-07-06,2447
941,2015-07-07,2414
942,2015-07-08,2515
943,2015-07-09,2463
944,2015-07-10,2269
945,2015-07-11,1983
946,2015-07-12,1661
947,2015-07-13,2438
948,2015-07-14,2554
949,2015-07-15,2352
950,2015-07-16,2608
951,2015-07-17,2457
952,2015-07-18,1861
953,2015-07-19,1771
954,2015-07-20,2175
955,2015-07-21,2554
956,2015-07-22,2595
957,2015-07-23,2519
958,2015-07-24,2376
959,2015-07-25,2006
960,2015-07-26,1826
961,2015-07-27,2397
962,2015-07-28,2533
963,2015-07-29,2493
964,2015-07-30,2094
965,2015-07-31,2387
966,2015-08-01,1767
967,2015-08-02,2122
968,2015-08-03,2442
969,2015-08-04,2193
970,2015-08-05,2659
971,2015-08-06,2601
972,2015-08-07,2609
973,2015-08-08,2065
974,2015-08-09,1932
975,2015-08-10,2415
976,2015-08-11,1408
977,2015-08-12,2469
978,2015-08-13,2264
979,2015-08-14,2492
980,2015-08-15,1689
981,2015-08-16,1833
982,2015-08-17,2011
983,2015-08-18,2173
984,2015-08-19,2341
985,2015-08-20,2367
986,2015-08-21,1636
987,2015-08-22,1743
988,2015-08-23,1269
989,2015-08-24,2195
990,2015-08-25,2285
991,2015-08-26,2270
992,2015-08-27,2252
993,2015-08-28,2076
994,2015-08-29,1667
995,2015-08-30,1755
996,2015-08-31,2172
997,2015-09-01,2392
998,2015-09-02,2271
999,2015-09-03,2382
1000,2015-09-04,2371
1001,2015-09-05,1879
1002,2015-09-06,1818
1003,2015-09-07,1746
1004,2015-09-08,2376
1005,2015-09-09,2301
1006,2015-09-10,1866
1007,2015-09-11,1791
1008,2015-09-12,1793
1009,2015-09-13,1181
1010,2015-09-14,2112
1011,2015-09-15,2494
1012,2015-09-16,2495
1013,2015-09-17,2549
1014,2015-09-18,2482
1015,2015-09-19,2051
1016,2015-09-20,1903
1017,2015-09-21,2352
1018,2015-09-22,2284
1019,2015-09-23,2470
1020,2015-09-24,2596
1021,2015-09-25,2386
1022,2015-09-26,1983
1023,2015-09-27,1777
1024,2015-09-28,2254
1025,2015-09-29,2275
1026,2015-09-30,1113
1027,2015-10-01,2064
1028,2015-10-02,1291
1029,2015-10-03,1012
1030,2015-10-04,1284
1031,2015-10-05,1965
1032,2015-10-06,2180
1033,2015-10-07,2144
1034,2015-10-08,2234
1035,2015-10-09,1568
1036,2015-10-10,1560
1037,2015-10-11,1825
1038,2015-10-12,1972
1039,2015-10-13,1795
1040,2015-10-14,2299
1041,2015-10-15,2328
1042,2015-10-16,2142
1043,2015-10-17,1782
1044,2015-10-18,1211
1045,2015-10-19,1655
1046,2015-10-20,1996
1047,2015-10-21,1931
1048,2015-10-22,2190
1049,2015-10-23,1929
1050,2015-10-24,1161
1051,2015-10-25,1144
1052,2015-10-26,1782
1053,2015-10-27,1847
1054,2015-10-28,1235
1055,2015-10-29,1805
1056,2015-10-30,1879
1057,2015-10-31,1313
1058,2015-11-01,1208
1059,2015-11-02,1833
1060,2015-11-03,2052
1061,2015-11-04,1969
1062,2015-11-05,2169
1063,2015-11-06,2161
1064,2015-11-07,1514
1065,2015-11-08,1310
1066,2015-11-09,1849
1067,2015-11-10,1835
1068,2015-11-11,976
1069,2015-11-12,1526
1070,2015-11-13,1816
1071,2015-11-14,945
1072,2015-11-15,1084
1073,2015-11-16,1718
1074,2015-11-17,1667
1075,2015-11-18,1673
1076,2015-11-19,1575
1077,2015-11-20,1563
1078,2015-11-21,1055
1079,2015-11-22,661
1080,2015-11-23,1331
1081,2015-11-24,1275
1082,2015-11-25,1101
1083,2015-11-26,539
1084,2015-11-27,828
1085,2015-11-28,364
1086,2015-11-29,668
1087,2015-11-30,1168
1088,2015-12-01,1136
1089,2015-12-02,881
1090,2015-12-03,1391
1091,2015-12-04,1292
1092,2015-12-05,884
1093,2015-12-06,867
1094,2015-12-07,1360
1095,2015-12-08,1220
1096,2015-12-09,1344
1097,2015-12-10,1393
1098,2015-12-11,1409
1099,2015-12-12,1038
1100,2015-12-13,897
1101,2015-12-14,1174
1102,2015-12-15,1277
1103,2015-12-16,1234
1104,2015-12-17,783
1105,2015-12-18,1047
1106,2015-12-19,511
1107,2015-12-20,466
1108,2015-12-21,919
1109,2015-12-22,525
1110,2015-12-23,624
1111,2015-12-24,453
1112,2015-12-25,540
1113,2015-12-26,320
1114,2015-12-27,299
1115,2015-12-28,502
1116,2015-12-29,109
1117,2015-12-30,248
1118,2015-12-31,310
1119,2016-01-01,222
1120,2016-01-02,221
1121,2016-01-03,245
1122,2016-01-04,277
1123,2016-01-05,324
1124,2016-01-06,460
1125,2016-01-07,534
1126,2016-01-08,538
1127,2016-01-09,327
1128,2016-01-10,121
1129,2016-01-11,492
1130,2016-01-12,488
1131,2016-01-13,427
1132,2016-01-14,469
1133,2016-01-15,520
1134,2016-01-16,260
1135,2016-01-17,269
1136,2016-01-18,201
1137,2016-01-19,292
1138,2016-01-20,420
1139,2016-01-21,410
1140,2016-01-22,425
1141,2016-01-23,159
1142,2016-01-24,193
1143,2016-01-25,463
1144,2016-01-26,568
1145,2016-01-27,620
1146,2016-01-28,617
1147,2016-01-29,600
1148,2016-01-30,438
1149,2016-01-31,431
1150,2016-02-01,851
1151,2016-02-02,816
1152,2016-02-03,565
1153,2016-02-04,802
1154,2016-02-05,133
1155,2016-02-06,258
1156,2016-02-07,316
1157,2016-02-08,117
1158,2016-02-09,374
1159,2016-02-10,473
1160,2016-02-11,515
1161,2016-02-12,416
1162,2016-02-13,171
1163,2016-02-14,95
1164,2016-02-15,201
